,timestamp,capital
0,2020-06-03 17:27:00+00:00,1000
1,2020-06-03 17:28:00+00:00,1000
2,2020-06-03 17:29:00+00:00,1000
3,2020-06-03 17:30:00+00:00,1000
4,2020-06-03 17:31:00+00:00,1000
5,2020-06-03 17:32:00+00:00,1000
6,2020-06-03 17:33:00+00:00,1000
7,2020-06-03 17:34:00+00:00,1000
8,2020-06-03 17:35:00+00:00,1000
9,2020-06-03 17:36:00+00:00,1000
10,2020-06-03 17:37:00+00:00,1000
11,2020-06-03 17:38:00+00:00,1000
12,2020-06-03 17:39:00+00:00,1000
13,2020-06-03 17:40:00+00:00,1000
14,2020-06-03 17:41:00+00:00,1000
15,2020-06-03 17:42:00+00:00,1000
16,2020-06-03 17:43:00+00:00,1000
17,2020-06-03 17:44:00+00:00,1000
18,2020-06-03 17:45:00+00:00,1000
19,2020-06-03 17:46:00+00:00,1000
20,2020-06-03 17:47:00+00:00,1000
21,2020-06-03 17:48:00+00:00,1000
22,2020-06-03 17:49:00+00:00,1000
23,2020-06-03 17:50:00+00:00,1000
24,2020-06-03 17:51:00+00:00,1000
25,2020-06-03 17:52:00+00:00,1000
26,2020-06-03 17:53:00+00:00,1000
27,2020-06-03 17:54:00+00:00,1000
28,2020-06-03 17:55:00+00:00,1000
29,2020-06-03 17:56:00+00:00,1000
30,2020-06-03 17:57:00+00:00,1000
31,2020-06-03 17:58:00+00:00,1000
32,2020-06-03 17:59:00+00:00,1000
33,2020-06-03 18:00:00+00:00,1000
34,2020-06-03 18:01:00+00:00,1000
35,2020-06-03 18:02:00+00:00,1000
36,2020-06-03 18:03:00+00:00,1000
37,2020-06-03 18:04:00+00:00,1000
38,2020-06-03 18:05:00+00:00,1000
39,2020-06-03 18:06:00+00:00,1000
40,2020-06-03 18:07:00+00:00,1000
41,2020-06-03 18:08:00+00:00,1000
42,2020-06-03 18:09:00+00:00,1000
43,2020-06-03 18:10:00+00:00,1000
44,2020-06-03 18:11:00+00:00,1000
45,2020-06-03 18:12:00+00:00,1000
46,2020-06-03 18:13:00+00:00,1000
47,2020-06-03 18:14:00+00:00,1000
48,2020-06-03 18:15:00+00:00,1000
49,2020-06-03 18:16:00+00:00,1000
50,2020-06-03 18:17:00+00:00,1000
51,2020-06-03 18:18:00+00:00,1000
52,2020-06-03 18:19:00+00:00,1000
53,2020-06-03 18:20:00+00:00,1000
